trip_id,branch,driver_id,s_filename,s_relative_path,v_filename,v_relative_path,raw_s_rows,raw_v_rows,synced_rows,validated_rows,omitted_rows,flag_ok_count,measured_rate_hz,duration_s,has_stationary_segment,stationary_segment_count,total_stationary_duration_s,has_real_outages_for_trip,has_real_outages_in_dataset,has_real_outages,outage_windows_json,extreme_accel_count,extreme_gyro_count,extreme_motion_count,dropout_count,nan_or_nonfinite_count,cached_npz_path,non_monotonic_count,duplicate_count,invalid_timestamp_count,sync_mode,sync_status,sync_clock_origin_offset_s,sync_clock_drift_s,sync_overlap_duration_s,sync_valid_interpolated_count,sync_out_of_bounds_count,sync_gap_violation_count,sync_valid_coverage_ratio
M,Categorised IOVNB Dataset,Driver B,S-M.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/S-M.csv,V-M.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/M (Driver B)/V-M.csv,105974,105974,105974,105973,1,105967,10.0,10597.4,True,132,1854.71,False,False,False,[],3,3,5,1,0,data/cache/iovnbd/Categorised_M.npz,1,0,0,relative_elapsed,PASSED,29604.173,1.165,10597.4,105962,12,0,0.9999
S1,Categorised IOVNB Dataset,Driver A,S-S1.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/S-S1.csv,V-S1.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S1/V-S1.csv,51746,51746,51746,51746,0,51746,10.0,5174.5,True,112,1233.1,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_S1.npz,0,0,0,relative_elapsed,PASSED,32866.078,-0.001,5174.5,51746,0,0,1.0
S2,Categorised IOVNB Dataset,Driver A,S-S2.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/S-S2.csv,V-S2.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S2/V-S2.csv,93876,93876,93876,93875,1,93873,10.0,9387.5,True,128,2160.81,False,False,False,[],1,2,2,0,0,data/cache/iovnbd/Categorised_S2.npz,1,0,0,relative_elapsed,PASSED,39824.389,0.0,9387.5,93876,0,0,1.0
S3a,Categorised IOVNB Dataset,Driver A,S-S3a.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/S-S3a.csv,V-S3a.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3a/V-S3a.csv,24621,24621,24621,24621,0,24621,10.0,2462.0,True,19,330.8,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_S3a.npz,0,0,0,relative_elapsed,PASSED,66086.679,0.0,2462.0,24621,0,0,1.0
S3b,Categorised IOVNB Dataset,Driver A,S-S3b.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/S-S3b.csv,V-S3b.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3b/V-S3b.csv,6813,6813,6813,6812,1,6808,10.0,681.2,True,17,137.5,False,False,False,[],2,3,4,0,0,data/cache/iovnbd/Categorised_S3b.npz,1,0,0,relative_elapsed,PASSED,66079.48,0.0,681.2,6813,0,0,1.0
S3c,Categorised IOVNB Dataset,Driver A,S-S3c.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,V-S3c.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,37183,37183,37183,37183,0,37183,10.0,3718.2,True,61,692.7,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_S3c.npz,0,0,0,relative_elapsed,PASSED,68791.392,-0.001,3718.2,37183,0,0,1.0
S4,Categorised IOVNB Dataset,Driver A,S-S4.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,V-S4.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,94600,94600,94600,94598,2,94596,10.0,9459.9,True,126,2244.09,False,False,False,[],1,2,2,0,0,data/cache/iovnbd/Categorised_S4.npz,2,0,0,relative_elapsed,PASSED,62164.971,-0.001,9459.9,94600,0,0,1.0
Vfa01,Categorised IOVNB Dataset,Driver E,S-Vfa01.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,V-Vfa01.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,11486,11535,11486,11486,0,11486,10.0,1148.5,True,6,85.2,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vfa01.npz,0,0,0,relative_elapsed,PASSED,33619.393,-4.9,1148.5,11486,0,0,1.0
Vfa02,Categorised IOVNB Dataset,Driver E,S-Vfa02.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,V-Vfa02.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,67523,67755,67523,67523,0,67523,10.0,6752.2,True,13,156.71,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vfa02.npz,0,0,0,relative_elapsed,PASSED,35829.862,-23.199,6752.2,67523,0,0,1.0
Vta10,Categorised IOVNB Dataset,Driver E,S-Vta10.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/S-Vta10.csv,V-vta10.csv,data/raw/io_vnbd/Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/V-vta10.csv,1502,1502,1502,1502,0,1502,10.0,150.1,False,0,0.0,False,False,False,[],0,0,0,0,0,data/cache/iovnbd/Categorised_Vta10.npz,0,0,0,relative_elapsed,PASSED,42353.388,0.0,150.1,1502,0,0,1.0
